"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: ordinalLoc","Param: randSeed","Param: size"
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.count","avgt",1,30,1454.000000,NaN,"counts",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.time","avgt",1,30,2116.000000,NaN,"ms",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster","avgt",1,30,125.416583,6.724002,"ns/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate","avgt",1,30,4405.934988,225.258660,"MB/sec",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate.norm","avgt",1,30,576.000019,0.000028,"B/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.count","avgt",1,30,1079.000000,NaN,"counts",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.time","avgt",1,30,1554.000000,NaN,"ms",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster","avgt",1,30,250.872211,9.468807,"ns/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate","avgt",1,30,3996.016207,149.751150,"MB/sec",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate.norm","avgt",1,30,1048.000038,0.000055,"B/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.count","avgt",1,30,980.000000,NaN,"counts",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.time","avgt",1,30,1401.000000,NaN,"ms",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster","avgt",1,30,576.518177,10.266481,"ns/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate","avgt",1,30,3681.330675,65.114990,"MB/sec",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate.norm","avgt",1,30,2224.000088,0.000127,"B/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.count","avgt",1,30,902.000000,NaN,"counts",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.time","avgt",1,30,1289.000000,NaN,"ms",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster","avgt",1,30,613.872468,16.770005,"ns/op",,1234,23
