"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: ordinalLoc","Param: randSeed","Param: size"
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,752.000029,7.688055,"B/op",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.count","avgt",1,30,924.000000,NaN,"counts",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.time","avgt",1,30,1317.000000,NaN,"ms",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia","avgt",1,30,225.227279,3.369178,"ns/op",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.alloc.rate","avgt",1,30,3219.519916,48.451528,"MB/sec",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,760.000034,0.000049,"B/op",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.count","avgt",1,30,787.000000,NaN,"counts",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.time","avgt",1,30,1121.000000,NaN,"ms",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia","avgt",1,30,239.757623,5.857742,"ns/op",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.alloc.rate","avgt",1,30,3122.340206,74.607260,"MB/sec",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,784.000036,0.000053,"B/op",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.count","avgt",1,30,765.000000,NaN,"counts",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.time","avgt",1,30,1119.000000,NaN,"ms",LAST,1234,23
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia","avgt",1,30,460.716560,3.017745,"ns/op",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.alloc.rate","avgt",1,30,1440.059720,47.603512,"MB/sec",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,696.000070,26.999561,"B/op",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.count","avgt",1,30,351.000000,NaN,"counts",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.time","avgt",1,30,512.000000,NaN,"ms",LAST,1234,50
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia","avgt",1,30,662.247194,21.012805,"ns/op",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.alloc.rate","avgt",1,30,1002.107706,54.299847,"MB/sec",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,693.333434,15.588201,"B/op",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.count","avgt",1,30,245.000000,NaN,"counts",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodeMagnolia:·gc.time","avgt",1,30,351.000000,NaN,"ms",LAST,1234,75
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster","avgt",1,30,107.471460,8.011507,"ns/op",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.alloc.rate","avgt",1,30,6393.107117,467.864316,"MB/sec",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.alloc.rate.norm","avgt",1,30,712.000016,7.688054,"B/op",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.count","avgt",1,30,1566.000000,NaN,"counts",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.time","avgt",1,30,2253.000000,NaN,"ms",LAST,1234,1
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster","avgt",1,30,108.878024,4.008209,"ns/op",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.alloc.rate","avgt",1,30,6066.822377,218.862923,"MB/sec",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.alloc.rate.norm","avgt",1,30,690.666683,2.562685,"B/op",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.count","avgt",1,30,1487.000000,NaN,"counts",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.time","avgt",1,30,2146.000000,NaN,"ms",LAST,1234,5
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster","avgt",1,30,113.661437,6.061043,"ns/op",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.alloc.rate","avgt",1,30,5856.845340,343.418717,"MB/sec",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.alloc.rate.norm","avgt",1,30,693.333351,2.562684,"B/op",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.count","avgt",1,30,1437.000000,NaN,"counts",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.time","avgt",1,30,2061.000000,NaN,"ms",LAST,1234,10
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster","avgt",1,30,114.130500,0.259270,"ns/op",LAST,1234,22
"perspective.circederivation.EncodeSumBenchmarks.encodePerspectiveFaster:·gc.alloc.rate","avgt",1,30,6016.215164,13.632655,"MB/sec",LAST,1234,22
