"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: ordinalLoc","Param: randSeed","Param: size"
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,450.666680,45.338526,"B/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.count","avgt",1,30,1242.000000,NaN,"counts",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.time","avgt",1,30,1797.000000,NaN,"ms",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten","avgt",1,30,215.713641,4.011237,"ns/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate","avgt",1,30,4848.983323,91.592726,"MB/sec",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,1096.000033,0.000047,"B/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.count","avgt",1,30,1189.000000,NaN,"counts",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.time","avgt",1,30,1666.000000,NaN,"ms",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten","avgt",1,30,531.825143,20.488445,"ns/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate","avgt",1,30,4524.671170,129.680579,"MB/sec",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,2517.333414,29.554327,"B/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.count","avgt",1,30,1109.000000,NaN,"counts",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.time","avgt",1,30,1592.000000,NaN,"ms",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten","avgt",1,30,575.991878,5.454954,"ns/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate","avgt",1,30,4503.844299,52.033569,"MB/sec",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,2720.000087,30.752219,"B/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.count","avgt",1,30,1105.000000,NaN,"counts",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.time","avgt",1,30,1563.000000,NaN,"ms",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten","avgt",1,30,1582.338061,34.483705,"ns/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate","avgt",1,30,4297.691612,109.910552,"MB/sec",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,7122.666907,57.930282,"B/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.count","avgt",1,30,1053.000000,NaN,"counts",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.time","avgt",1,30,1465.000000,NaN,"ms",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten","avgt",1,30,7784.218083,115.679924,"ns/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate","avgt",1,30,1954.222727,30.389591,"MB/sec",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.alloc.rate.norm","avgt",1,30,15944.001182,81.483711,"B/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.count","avgt",1,30,479.000000,NaN,"counts",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeHandwritten:·gc.time","avgt",1,30,671.000000,NaN,"ms",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia","avgt",1,30,17.668061,0.102846,"ns/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate","avgt",1,30,6909.390366,39.546629,"MB/sec",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,128.000003,0.000004,"B/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.count","avgt",1,30,1692.000000,NaN,"counts",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.time","avgt",1,30,2345.000000,NaN,"ms",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia","avgt",1,30,114.611680,4.927482,"ns/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate","avgt",1,30,4478.641733,201.432668,"MB/sec",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,536.000017,0.000025,"B/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.count","avgt",1,30,1098.000000,NaN,"counts",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.time","avgt",1,30,1506.000000,NaN,"ms",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia","avgt",1,30,220.319055,8.825345,"ns/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate","avgt",1,30,4308.227997,165.998076,"MB/sec",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,992.000033,0.000049,"B/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.count","avgt",1,30,1056.000000,NaN,"counts",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.time","avgt",1,30,1516.000000,NaN,"ms",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia","avgt",1,30,584.490303,46.579017,"ns/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate","avgt",1,30,3561.409513,270.615847,"MB/sec",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,2154.666755,33.314909,"B/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.count","avgt",1,30,873.000000,NaN,"counts",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.time","avgt",1,30,1243.000000,NaN,"ms",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia","avgt",1,30,575.557849,40.032258,"ns/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate","avgt",1,30,3907.407023,245.068006,"MB/sec",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,2336.000087,7.688061,"B/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.count","avgt",1,30,957.000000,NaN,"counts",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.time","avgt",1,30,1380.000000,NaN,"ms",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia","avgt",1,30,1224.636620,39.440494,"ns/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate","avgt",1,30,3846.003526,121.764611,"MB/sec",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,4928.000185,0.000269,"B/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.count","avgt",1,30,943.000000,NaN,"counts",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.time","avgt",1,30,1337.000000,NaN,"ms",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia","avgt",1,30,2729.154542,35.428170,"ns/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate","avgt",1,30,2578.323643,33.043722,"MB/sec",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.alloc.rate.norm","avgt",1,30,7376.000414,0.000599,"B/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.count","avgt",1,30,631.000000,NaN,"counts",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodeMagnolia:·gc.time","avgt",1,30,875.000000,NaN,"ms",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective","avgt",1,30,33.049019,0.749476,"ns/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate","avgt",1,30,6247.788249,342.974042,"MB/sec",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate.norm","avgt",1,30,216.000005,7.688055,"B/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.count","avgt",1,30,1530.000000,NaN,"counts",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.time","avgt",1,30,2178.000000,NaN,"ms",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective","avgt",1,30,165.536380,5.164706,"ns/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate","avgt",1,30,4899.080335,205.575302,"MB/sec",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate.norm","avgt",1,30,848.000025,8.877400,"B/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.count","avgt",1,30,1200.000000,NaN,"counts",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.time","avgt",1,30,1682.000000,NaN,"ms",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective","avgt",1,30,321.865637,7.717673,"ns/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate","avgt",1,30,4872.613525,118.634622,"MB/sec",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate.norm","avgt",1,30,1642.666715,17.938795,"B/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.count","avgt",1,30,1194.000000,NaN,"counts",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.time","avgt",1,30,1702.000000,NaN,"ms",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective","avgt",1,30,823.564652,11.492976,"ns/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate","avgt",1,30,4167.236410,56.761871,"MB/sec",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate.norm","avgt",1,30,3597.333458,5.125371,"B/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.count","avgt",1,30,1021.000000,NaN,"counts",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.time","avgt",1,30,1442.000000,NaN,"ms",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective","avgt",1,30,4306.104240,37.525731,"ns/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate","avgt",1,30,1458.353663,12.640146,"MB/sec",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate.norm","avgt",1,30,6584.000654,0.000948,"B/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.count","avgt",1,30,356.000000,NaN,"counts",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.time","avgt",1,30,515.000000,NaN,"ms",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective","avgt",1,30,9916.111039,55.152734,"ns/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate","avgt",1,30,1772.745204,9.805123,"MB/sec",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate.norm","avgt",1,30,18432.001504,0.002179,"B/op",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.count","avgt",1,30,433.000000,NaN,"counts",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.time","avgt",1,30,617.000000,NaN,"ms",,1234,50
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective","avgt",1,30,15411.940726,56.964566,"ns/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate","avgt",1,30,2187.049777,8.114043,"MB/sec",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.alloc.rate.norm","avgt",1,30,35344.002339,0.003387,"B/op",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.count","avgt",1,30,536.000000,NaN,"counts",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodePerspective:·gc.time","avgt",1,30,758.000000,NaN,"ms",,1234,75
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster","avgt",1,30,21.088865,2.132303,"ns/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate","avgt",1,30,7143.091275,132.165678,"MB/sec",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate.norm","avgt",1,30,157.333337,12.813425,"B/op",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.count","avgt",1,30,1751.000000,NaN,"counts",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.time","avgt",1,30,2518.000000,NaN,"ms",,1234,1
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster","avgt",1,30,135.506242,3.165639,"ns/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate","avgt",1,30,4354.907869,40.093851,"MB/sec",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate.norm","avgt",1,30,618.666687,12.813425,"B/op",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.count","avgt",1,30,1067.000000,NaN,"counts",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.time","avgt",1,30,1515.000000,NaN,"ms",,1234,5
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster","avgt",1,30,262.379292,9.581676,"ns/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate","avgt",1,30,4409.217454,243.886562,"MB/sec",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate.norm","avgt",1,30,1210.666707,58.941753,"B/op",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.count","avgt",1,30,1081.000000,NaN,"counts",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.time","avgt",1,30,1479.000000,NaN,"ms",,1234,10
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster","avgt",1,30,615.934592,11.435946,"ns/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate","avgt",1,30,3963.492615,120.998526,"MB/sec",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate.norm","avgt",1,30,2562.666760,120.446192,"B/op",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.count","avgt",1,30,971.000000,NaN,"counts",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.time","avgt",1,30,1400.000000,NaN,"ms",,1234,22
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster","avgt",1,30,607.773290,19.455014,"ns/op",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate","avgt",1,30,4314.875508,134.418845,"MB/sec",,1234,23
"perspective.circederivation.DecodeProductBenchmarks.decodePerspectiveFaster:·gc.alloc.rate.norm","avgt",1,30,2744.000092,0.000134,"B/op",,1234,23
